StudentName,Email,Password,Phone,BloodGroup,Gender,Birthday,Adress,,
Jhon,j@n,1312,243,o+,male,19-05-1999,sd,,
abir,sd@d,342,234,o-,female,19-05-1999,sd,,
jhor,d@dc,342,234,o-,female,19-05-1999,sd,,
fon,k@f,342,234,o-,female,19-05-1999,sd,,
alumni,l@s,342,234,o-,female,19-05-1999,sd,,
huvar,n@e,342,234,o-,female,19-05-1999,sd,,
David ,m@a,342,234,o-,female,19-05-1999,sd,,
David1,m@c,342,234,o-,female,19-05-1999,fd,,
David2,m@q,342,234,o-,female,19-05-1999,d,,
David 3,m@r,342,234,o-,female,19-05-1999,da,,
